arm_id,invalid_trials,scenario_id,scenario_level_mrr,scenario_top1_rate,scenario_top2_rate,scenario_top4_rate,scenario_type,scheduled_trials,valid_positive_trials,valid_trials
deterministic_enriched,0,ow14-s0237,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0238,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0239,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0240,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0241,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0242,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0243,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0244,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0245,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0246,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0247,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0248,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0249,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0250,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0251,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0252,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0253,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0254,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0255,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0256,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0257,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
deterministic_enriched,0,ow14-s0258,not_applicable,not_applicable,not_applicable,not_applicable,negative_only,1,0,1
